MARKE,KOMERCINIS_PAV,ELEKTRINE_TP,APSKRITIS,PIRM_REG_METAI_LT
TESLA,MODEL X,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
RENAULT,ZOE,Y,Vilniaus,2021-06
PEUGEOT,2008,Y,Vilniaus,2021-08
VOLKSWAGEN. VW,ID.4 PRO 150 KW,Y,Telšių,2021-04
NISSAN,NISSAN LEAF 40KWH,Y,Kauno,2021-10
PEUGEOT,208,Y,Vilniaus,2021-06
NISSAN,NISSAN LEAF 62KWH,Y,Vilniaus,2021-11
TESLA,MODEL X,Y,Kauno,2021-05
MAZDA,MAZDA MX-30,Y,Šiaulių,2021-07
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-09
PEUGEOT,2008,Y,Vilniaus,2021-08
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-05
NISSAN,NISSAN LEAF,Y,Vilniaus,2021-10
VOLKSWAGEN. VW,CRAFTER,Y,Klaipėdos,2021-10
SUNRA,HAWK,Y,Utenos,2021-08
HYUNDAI,KONA. KAUAI,Y,Vilniaus,2021-12
NISSAN,NISSAN LEAF 40KWH,Y,Panevėžio,2021-06
XINRI,XZY,Y,Telšių,2021-11
NISSAN,LEAF 40KWH,Y,Vilniaus,2021-10
NZITA,ELECTRIC BIKE,Y,Panevėžio,2021-10
BMW i,i3,Y,Vilniaus,2021-10
BMW i,i3,Y,Kauno,2021-07
AUDI,E-TRON SPORTBACK 55,Y,Klaipėdos,2021-10
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-06
MERCEDES-BENZ,EQA 250,Y,Klaipėdos,2021-10
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-09
BMW i,I3S,Y,Vilniaus,2021-08
RENAULT,ZOE,Y,Vilniaus,2021-08
PEUGEOT,2008,Y,Vilniaus,2021-06
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
NISSAN,LEAF 40KWH,Y,Kauno,2021-04
NISSAN,NISSAN LEAF 40KWH,Y,Vilniaus,2021-12
NISSAN,LEAF 30KWH,Y,Vilniaus,2021-09
AUDI,E-TRON GT,Y,Vilniaus,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
TESLA,MODEL X,Y,Kauno,2021-07
VOLKSWAGEN. VW,UP!,Y,Vilniaus,2021-12
TESLA,MODEL X,Y,Klaipėdos,2021-06
