KIEKIS,PIRM_REG_METAI_LT,PIRM_REG_MEN_LT,PIRM_REG_DIENA_LT
759,2018,3,20
560,2018,3,21
520,2018,3,22
600,2018,3,23
510,2018,3,24
152,2018,3,26
833,2018,3,27
664,2018,3,28
775,2018,3,29
789,2018,3,30
439,2018,3,31
652,2018,4,3
749,2018,4,4
698,2018,4,5
720,2018,4,6
605,2018,4,7
246,2018,4,9
874,2018,4,10
660,2018,4,11
698,2018,4,12
701,2018,4,13
544,2018,4,14
219,2018,4,16
932,2018,4,17
773,2018,4,18
693,2018,4,19
673,2018,4,20
557,2018,4,21
201,2018,4,23
897,2018,4,24
718,2018,4,25
642,2018,4,26
751,2018,4,27
536,2018,4,28
225,2018,4,30
942,2018,5,2
750,2018,5,3
834,2018,5,4
489,2018,5,5
166,2018,5,7
876,2018,5,8
675,2018,5,9
630,2018,5,10
706,2018,5,11
579,2018,5,12
210,2018,5,14
826,2018,5,15
716,2018,5,16
629,2018,5,17
642,2018,5,18
516,2018,5,19
225,2018,5,21
814,2018,5,22
755,2018,5,23
685,2018,5,24
692,2018,5,25
496,2018,5,26
199,2018,5,28
849,2018,5,29
721,2018,5,30
616,2018,5,31
648,2018,6,1
417,2018,6,2
200,2018,6,4
816,2018,6,5
654,2018,6,6
649,2018,6,7
652,2018,6,8
528,2018,6,9
198,2018,6,11
784,2018,6,12
681,2018,6,13
688,2018,6,14
650,2018,6,15
505,2018,6,16
184,2018,6,18
859,2018,6,19
789,2018,6,20
646,2018,6,21
681,2018,6,22
449,2018,6,23
221,2018,6,25
856,2018,6,26
741,2018,6,27
605,2018,6,28
649,2018,6,29
473,2018,6,30
192,2018,7,2
822,2018,7,3
763,2018,7,4
692,2018,7,5
499,2018,7,7
233,2018,7,9
855,2018,7,10
755,2018,7,11
697,2018,7,12
757,2018,7,13
499,2018,7,14
206,2018,7,16
847,2018,7,17
733,2018,7,18
669,2018,7,19
669,2018,7,20
484,2018,7,21
194,2018,7,23
813,2018,7,24
697,2018,7,25
662,2018,7,26
653,2018,7,27
457,2018,7,28
169,2018,7,30
835,2018,7,31
727,2018,8,1
593,2018,8,2
582,2018,8,3
504,2018,8,4
159,2018,8,6
823,2018,8,7
656,2018,8,8
599,2018,8,9
676,2018,8,10
460,2018,8,11
165,2018,8,13
847,2018,8,14
784,2018,8,16
729,2018,8,17
550,2018,8,18
182,2018,8,20
822,2018,8,21
661,2018,8,22
684,2018,8,23
648,2018,8,24
467,2018,8,25
216,2018,8,27
900,2018,8,28
626,2018,8,29
726,2018,8,30
700,2018,8,31
526,2018,9,1
164,2018,9,3
758,2018,9,4
613,2018,9,5
617,2018,9,6
589,2018,9,7
491,2018,9,8
166,2018,9,10
808,2018,9,11
593,2018,9,12
573,2018,9,13
607,2018,9,14
483,2018,9,15
189,2018,9,17
847,2018,9,18
657,2018,9,19
562,2018,9,20
672,2018,9,21
459,2018,9,22
203,2018,9,24
763,2018,9,25
594,2018,9,26
602,2018,9,27
651,2018,9,28
496,2018,9,29
180,2018,10,1
793,2018,10,2
639,2018,10,3
617,2018,10,4
681,2018,10,5
538,2018,10,6
190,2018,10,8
757,2018,10,9
598,2018,10,10
532,2018,10,11
616,2018,10,12
500,2018,10,13
212,2018,10,15
811,2018,10,16
597,2018,10,17
587,2018,10,18
646,2018,10,19
501,2018,10,20
211,2018,10,22
859,2018,10,23
607,2018,10,24
607,2018,10,25
647,2018,10,26
513,2018,10,27
215,2018,10,29
851,2018,10,30
612,2018,10,31
701,2018,11,2
456,2018,11,3
227,2018,11,5
720,2018,11,6
526,2018,11,7
532,2018,11,8
611,2018,11,9
446,2018,11,10
186,2018,11,12
759,2018,11,13
501,2018,11,14
508,2018,11,15
577,2018,11,16
479,2018,11,17
224,2018,11,19
683,2018,11,20
532,2018,11,21
535,2018,11,22
549,2018,11,23
462,2018,11,24
172,2018,11,26
669,2018,11,27
548,2018,11,28
514,2018,11,29
520,2018,11,30
380,2018,12,1
129,2018,12,3
629,2018,12,4
569,2018,12,5
462,2018,12,6
522,2018,12,7
389,2018,12,8
159,2018,12,10
690,2018,12,11
548,2018,12,12
